temperature_K,bit_rate_bits_per_s,Pmin_W
4.2,1.8803880893409165e+19,0.0007557976300351816
4.2,2.3149866718511464e+19,0.0009304788995772636
4.2,2.8500304385181168e+19,0.001145532809514404
4.2,3.5087344559027003e+19,0.0014102903550742775
4.2,4.319679297334165e+19,0.0017362391274141323
4.2,5.318051128214197e+19,0.0021375217498420867
4.2,6.547168402004689e+19,0.0026315495134894107
4.2,8.060361408861361e+19,0.0032397578375322113
4.2,9.923286228832505e+19,0.003988536332699884
4.2,1.221677348996788e+20,0.004910373822688222
4.2,1.5040335536380222e+20,0.006045268004922553
4.2,1.851648417912154e+20,0.007442460914581308
4.2,2.279604637318982e+20,0.009162575492098476
4.2,2.8064708463098216e+20,0.011280245957882322
4.2,3.455107294592232e+20,0.013887356123838084
4.2,4.2536577327503743e+20,0.01709702614910943
4.2,5.2367705442046444e+20,0.021048520721779256
4.2,6.44710210732387e+20,0.025913291628102728
4.2,7.937167617217494e+20,0.03190241689090685
4.2,9.771619672696201e+20,0.03927575925466294
4.2,1.2030053494233194e+21,0.04835324139563543
4.2,1.4810460488806708e+21,0.05952872707831949
4.2,1.8233480008684384e+21,0.07328711054901306
4.2,2.2447633784132238e+21,0.09022535565991287
4.2,2.7635770147361627e+21,0.11107839759234985
4.2,3.4022997656780506e+21,0.13675103103157965
4.2,4.188645235435288e+21,0.1683571683922844
4.2,5.156732244854953e+21,0.2072681714737645
4.2,6.34856521630521e+21,0.255172353611805
4.2,7.815856707684091e+21,0.31414823407186715
4.2,9.622271173675075e+21,0.3867547231257194
4.2,1.1846187309026775e+22,0.47614215086064793
4.2,1.4584098829439802e+22,0.5861889571611222
4.2,1.7954801246878267e+22,0.7216699737180171
4.2,2.210454629971019e+22,0.8884635996699821
4.2,2.721338768375309e+22,1.0938068600412316
4.2,3.3502993419772367e+22,1.3466094137313707
4.2,4.124626382901331e+22,1.6578401355807697
4.2,5.077917243205382e+22,2.0410030459587745
4.2,6.2515343536896986e+22,2.5127232380302353
4.2,7.696399902471151e+22,3.093468225556328
4.2,9.475205302806547e+22,3.808436009860098
4.2,1.1665131316981984e+23,4.688648398381619
4.2,1.4361196859990715e+23,5.77229701292891
4.2,1.7680381784572013e+23,7.106400389709144
4.2,2.1766702531534548e+23,8.748844071215542
4.2,2.6797460873256894e+23,10.770892207718134
4.2,3.299093687770942e+23,13.260279644481628
4.2,4.0615859883769544e+23,16.325018657586572
4.2,5.0003068424910695e+23,20.098085509189136
4.2,6.155986501483489e+23,24.743190167624242
4.2,7.578768863625915e+23,30.46187953530691
4.2,9.33038717262036e+23,37.502282387083405
4.2,1.1486842567375547e+24,46.16987545402215
4.2,1.414170170289015e+24,56.84073778331125
4.2,1.7410156523040083e+24,69.97786846898917
4.2,2.14340223351485e+24,86.15127576512397
4.2,2.6387891048289296e+24,106.06270922995503
4.2,3.2486706558783745e+24,130.57610800642328
4.2,3.9995090972036694e+24,160.7550863625281
4.2,4.923882631706711e+24,197.90908295530159
4.2,6.061898993497547e+24,243.65017619335998
4.2,7.462935686310113e+24,299.9630308653557
4.2,9.187782428863321e+24,369.29101095549476
4.2,1.1311278765939213e+25,454.64219500351135
4.2,1.392556128874465e+25,559.7198939199778
4.2,1.7144061358519615e+25,689.0833343072544
4.2,2.110642679101546e+25,848.345479190514
4.2,2.598458104929242e+25,1044.416569421894
4.2,3.1990182847750607e+25,1285.803952799794
4.2,3.938380983288489e+25,1582.9812102183569
4.2,4.848626481239088e+25,1948.8425948979364
4.2,5.969249509970703e+25,2399.2625024049375
4.2,7.348872892180358e+25,2953.7842463608113
4.2,9.047357242349274e+25,3636.4680251968375
4.2,1.1138398264826183e+26,4476.934872467886
4.2,1.3712724343984009e+26,5511.651886787633
4.2,1.688203316700366e+26,6785.51450635327
4.2,2.0783838185797468e+26,8353.794481524441
4.2,2.5587435201685787e+26,10284.538066230394
4.2,3.1501247957553214e+26,12661.518483567039
4.2,3.878187145610719e+26,15587.870770404945
4.2,4.7745205385661314e+26,19190.566713637287
4.2,5.8780160722748755e+26,23625.924041516362
4.2,7.23655342286962e+26,29086.388908923986
4.2,8.909078300934106e+26,35808.8859624928
4.2,1.0968160052731357e+27,44085.09828737794
4.2,1.3503140378698723e+27,54274.12327329715
4.2,1.6624009789266134e+27,66818.05352645511
4.2,2.0466179993919774e+27,82261.15886907
4.2,2.519635929317003e+27,101273.50171616755
